problem_id,problem_name,description,skill_level,difficulty,max_score
P0126,Hard Graphs Problem 126,This is a hard level problem related to graphs.,Advanced,Hard,85
P0127,Medium Math Problem 127,This is a medium level problem related to math.,Intermediate,Medium,56
P0128,Easy Greedy Problem 128,This is a easy level problem related to greedy.,Basic,Easy,65
P0129,Medium Dynamic Programming Problem 129,This is a medium level problem related to dynamic programming.,Intermediate,Medium,12
P0130,Medium Algorithm Problem 130,This is a medium level problem related to algorithm.,Intermediate,Medium,19
P0131,Easy Math Problem 131,This is a easy level problem related to math.,Basic,Easy,98
P0132,Medium Algorithm Problem 132,This is a medium level problem related to algorithm.,Intermediate,Medium,69
P0133,Easy Algorithm Problem 133,This is a easy level problem related to algorithm.,Basic,Easy,85
P0134,Hard Greedy Problem 134,This is a hard level problem related to greedy.,Advanced,Hard,11
P0135,Hard Algorithm Problem 135,This is a hard level problem related to algorithm.,Advanced,Hard,69
P0136,Hard Graphs Problem 136,This is a hard level problem related to graphs.,Advanced,Hard,57
P0137,Hard Greedy Problem 137,This is a hard level problem related to greedy.,Advanced,Hard,45
P0138,Easy Dynamic Programming Problem 138,This is a easy level problem related to dynamic programming.,Basic,Easy,48
P0139,Easy Graphs Problem 139,This is a easy level problem related to graphs.,Basic,Easy,26
P0140,Medium Algorithm Problem 140,This is a medium level problem related to algorithm.,Intermediate,Medium,80
P0141,Hard Algorithm Problem 141,This is a hard level problem related to algorithm.,Advanced,Hard,33
P0142,Hard Algorithm Problem 142,This is a hard level problem related to algorithm.,Advanced,Hard,28
P0143,Easy Graphs Problem 143,This is a easy level problem related to graphs.,Basic,Easy,77
P0144,Hard Dynamic Programming Problem 144,This is a hard level problem related to dynamic programming.,Advanced,Hard,29
P0145,Medium Greedy Problem 145,This is a medium level problem related to greedy.,Intermediate,Medium,72
P0146,Medium Graphs Problem 146,This is a medium level problem related to graphs.,Intermediate,Medium,48
P0147,Hard Math Problem 147,This is a hard level problem related to math.,Advanced,Hard,23
P0148,Hard Data Structures Problem 148,This is a hard level problem related to data structures.,Advanced,Hard,64
P0149,Easy Graphs Problem 149,This is a easy level problem related to graphs.,Basic,Easy,11
P0150,Medium Math Problem 150,This is a medium level problem related to math.,Intermediate,Medium,59
P0151,Medium Math Problem 151,This is a medium level problem related to math.,Intermediate,Medium,77
P0152,Medium Dynamic Programming Problem 152,This is a medium level problem related to dynamic programming.,Intermediate,Medium,40
P0153,Medium Greedy Problem 153,This is a medium level problem related to greedy.,Intermediate,Medium,61
P0154,Easy Greedy Problem 154,This is a easy level problem related to greedy.,Basic,Easy,92
P0155,Medium Greedy Problem 155,This is a medium level problem related to greedy.,Intermediate,Medium,69
P0156,Hard Math Problem 156,This is a hard level problem related to math.,Advanced,Hard,19
P0157,Easy Math Problem 157,This is a easy level problem related to math.,Basic,Easy,65
P0158,Easy Dynamic Programming Problem 158,This is a easy level problem related to dynamic programming.,Basic,Easy,51
P0159,Hard Dynamic Programming Problem 159,This is a hard level problem related to dynamic programming.,Advanced,Hard,50
P0160,Medium Algorithm Problem 160,This is a medium level problem related to algorithm.,Intermediate,Medium,24
P0161,Medium Dynamic Programming Problem 161,This is a medium level problem related to dynamic programming.,Intermediate,Medium,66
P0162,Easy Greedy Problem 162,This is a easy level problem related to greedy.,Basic,Easy,100
P0163,Easy Dynamic Programming Problem 163,This is a easy level problem related to dynamic programming.,Basic,Easy,42
P0164,Hard Math Problem 164,This is a hard level problem related to math.,Advanced,Hard,84
P0165,Hard Algorithm Problem 165,This is a hard level problem related to algorithm.,Advanced,Hard,98
P0166,Easy Dynamic Programming Problem 166,This is a easy level problem related to dynamic programming.,Basic,Easy,69
P0167,Hard Dynamic Programming Problem 167,This is a hard level problem related to dynamic programming.,Advanced,Hard,21
P0168,Easy Algorithm Problem 168,This is a easy level problem related to algorithm.,Basic,Easy,98
P0169,Easy Greedy Problem 169,This is a easy level problem related to greedy.,Basic,Easy,62
P0170,Medium Graphs Problem 170,This is a medium level problem related to graphs.,Intermediate,Medium,79
P0171,Easy Graphs Problem 171,This is a easy level problem related to graphs.,Basic,Easy,36
P0172,Medium Data Structures Problem 172,This is a medium level problem related to data structures.,Intermediate,Medium,71
P0173,Easy Data Structures Problem 173,This is a easy level problem related to data structures.,Basic,Easy,68
P0174,Hard Graphs Problem 174,This is a hard level problem related to graphs.,Advanced,Hard,80
P0175,Easy Algorithm Problem 175,This is a easy level problem related to algorithm.,Basic,Easy,52
P0176,Medium Graphs Problem 176,This is a medium level problem related to graphs.,Intermediate,Medium,29
P0177,Hard Data Structures Problem 177,This is a hard level problem related to data structures.,Advanced,Hard,67
P0178,Easy Math Problem 178,This is a easy level problem related to math.,Basic,Easy,64
P0179,Medium Dynamic Programming Problem 179,This is a medium level problem related to dynamic programming.,Intermediate,Medium,99
P0180,Hard Dynamic Programming Problem 180,This is a hard level problem related to dynamic programming.,Advanced,Hard,88
P0181,Medium Math Problem 181,This is a medium level problem related to math.,Intermediate,Medium,28
P0182,Hard Dynamic Programming Problem 182,This is a hard level problem related to dynamic programming.,Advanced,Hard,23
P0183,Hard Dynamic Programming Problem 183,This is a hard level problem related to dynamic programming.,Advanced,Hard,28
P0184,Medium Algorithm Problem 184,This is a medium level problem related to algorithm.,Intermediate,Medium,27
P0185,Hard Dynamic Programming Problem 185,This is a hard level problem related to dynamic programming.,Advanced,Hard,95
P0186,Medium Dynamic Programming Problem 186,This is a medium level problem related to dynamic programming.,Intermediate,Medium,21
P0187,Hard Algorithm Problem 187,This is a hard level problem related to algorithm.,Advanced,Hard,11
P0188,Hard Greedy Problem 188,This is a hard level problem related to greedy.,Advanced,Hard,87
P0189,Medium Data Structures Problem 189,This is a medium level problem related to data structures.,Intermediate,Medium,79
P0190,Hard Math Problem 190,This is a hard level problem related to math.,Advanced,Hard,37
P0191,Easy Dynamic Programming Problem 191,This is a easy level problem related to dynamic programming.,Basic,Easy,98
P0192,Hard Dynamic Programming Problem 192,This is a hard level problem related to dynamic programming.,Advanced,Hard,31
P0193,Easy Math Problem 193,This is a easy level problem related to math.,Basic,Easy,17
P0194,Hard Greedy Problem 194,This is a hard level problem related to greedy.,Advanced,Hard,17
P0195,Hard Graphs Problem 195,This is a hard level problem related to graphs.,Advanced,Hard,79
P0196,Easy Dynamic Programming Problem 196,This is a easy level problem related to dynamic programming.,Basic,Easy,83
P0197,Medium Graphs Problem 197,This is a medium level problem related to graphs.,Intermediate,Medium,20
P0198,Hard Data Structures Problem 198,This is a hard level problem related to data structures.,Advanced,Hard,36
P0199,Medium Algorithm Problem 199,This is a medium level problem related to algorithm.,Intermediate,Medium,33
P0200,Medium Math Problem 200,This is a medium level problem related to math.,Intermediate,Medium,14
P0201,Easy Algorithm Problem 201,This is a easy level problem related to algorithm.,Basic,Easy,33
P0202,Hard Data Structures Problem 202,This is a hard level problem related to data structures.,Advanced,Hard,84
P0203,Medium Dynamic Programming Problem 203,This is a medium level problem related to dynamic programming.,Intermediate,Medium,31
P0204,Easy Algorithm Problem 204,This is a easy level problem related to algorithm.,Basic,Easy,64
P0205,Hard Data Structures Problem 205,This is a hard level problem related to data structures.,Advanced,Hard,61
P0206,Easy Greedy Problem 206,This is a easy level problem related to greedy.,Basic,Easy,83
P0207,Easy Math Problem 207,This is a easy level problem related to math.,Basic,Easy,99
P0208,Hard Algorithm Problem 208,This is a hard level problem related to algorithm.,Advanced,Hard,30
P0209,Easy Greedy Problem 209,This is a easy level problem related to greedy.,Basic,Easy,74
P0210,Hard Dynamic Programming Problem 210,This is a hard level problem related to dynamic programming.,Advanced,Hard,62
P0211,Easy Data Structures Problem 211,This is a easy level problem related to data structures.,Basic,Easy,53
P0212,Easy Math Problem 212,This is a easy level problem related to math.,Basic,Easy,52
P0213,Medium Algorithm Problem 213,This is a medium level problem related to algorithm.,Intermediate,Medium,94
P0214,Easy Math Problem 214,This is a easy level problem related to math.,Basic,Easy,22
P0215,Easy Math Problem 215,This is a easy level problem related to math.,Basic,Easy,96
P0216,Medium Data Structures Problem 216,This is a medium level problem related to data structures.,Intermediate,Medium,31
P0217,Hard Greedy Problem 217,This is a hard level problem related to greedy.,Advanced,Hard,64
P0218,Hard Algorithm Problem 218,This is a hard level problem related to algorithm.,Advanced,Hard,67
P0219,Medium Math Problem 219,This is a medium level problem related to math.,Intermediate,Medium,14
P0220,Easy Graphs Problem 220,This is a easy level problem related to graphs.,Basic,Easy,43
P0221,Medium Graphs Problem 221,This is a medium level problem related to graphs.,Intermediate,Medium,85
P0222,Easy Math Problem 222,This is a easy level problem related to math.,Basic,Easy,97
P0223,Easy Data Structures Problem 223,This is a easy level problem related to data structures.,Basic,Easy,61
P0224,Easy Math Problem 224,This is a easy level problem related to math.,Basic,Easy,61
P0225,Hard Math Problem 225,This is a hard level problem related to math.,Advanced,Hard,56
P0226,Hard Greedy Problem 226,This is a hard level problem related to greedy.,Advanced,Hard,40
P0227,Hard Math Problem 227,This is a hard level problem related to math.,Advanced,Hard,99
P0228,Easy Graphs Problem 228,This is a easy level problem related to graphs.,Basic,Easy,17
P0229,Hard Math Problem 229,This is a hard level problem related to math.,Advanced,Hard,13
P0230,Medium Data Structures Problem 230,This is a medium level problem related to data structures.,Intermediate,Medium,43
P0231,Medium Graphs Problem 231,This is a medium level problem related to graphs.,Intermediate,Medium,65
P0232,Hard Greedy Problem 232,This is a hard level problem related to greedy.,Advanced,Hard,51
P0233,Medium Greedy Problem 233,This is a medium level problem related to greedy.,Intermediate,Medium,86
P0234,Easy Math Problem 234,This is a easy level problem related to math.,Basic,Easy,51
P0235,Hard Data Structures Problem 235,This is a hard level problem related to data structures.,Advanced,Hard,56
P0236,Medium Greedy Problem 236,This is a medium level problem related to greedy.,Intermediate,Medium,94
P0237,Medium Data Structures Problem 237,This is a medium level problem related to data structures.,Intermediate,Medium,69
P0238,Hard Graphs Problem 238,This is a hard level problem related to graphs.,Advanced,Hard,33
P0239,Easy Dynamic Programming Problem 239,This is a easy level problem related to dynamic programming.,Basic,Easy,83
P0240,Easy Graphs Problem 240,This is a easy level problem related to graphs.,Basic,Easy,29
P0241,Medium Algorithm Problem 241,This is a medium level problem related to algorithm.,Intermediate,Medium,80
P0242,Easy Data Structures Problem 242,This is a easy level problem related to data structures.,Basic,Easy,91
P0243,Medium Math Problem 243,This is a medium level problem related to math.,Intermediate,Medium,63
P0244,Easy Math Problem 244,This is a easy level problem related to math.,Basic,Easy,29
P0245,Easy Data Structures Problem 245,This is a easy level problem related to data structures.,Basic,Easy,75
P0246,Medium Greedy Problem 246,This is a medium level problem related to greedy.,Intermediate,Medium,83
P0247,Easy Algorithm Problem 247,This is a easy level problem related to algorithm.,Basic,Easy,43
P0248,Easy Data Structures Problem 248,This is a easy level problem related to data structures.,Basic,Easy,23
P0249,Easy Algorithm Problem 249,This is a easy level problem related to algorithm.,Basic,Easy,69
P0250,Hard Graphs Problem 250,This is a hard level problem related to graphs.,Advanced,Hard,15
P0251,Easy Graphs Problem 251,This is a easy level problem related to graphs.,Basic,Easy,79
P0252,Medium Algorithm Problem 252,This is a medium level problem related to algorithm.,Intermediate,Medium,94
P0253,Hard Dynamic Programming Problem 253,This is a hard level problem related to dynamic programming.,Advanced,Hard,69
P0254,Hard Math Problem 254,This is a hard level problem related to math.,Advanced,Hard,36
P0255,Hard Greedy Problem 255,This is a hard level problem related to greedy.,Advanced,Hard,23
P0256,Medium Algorithm Problem 256,This is a medium level problem related to algorithm.,Intermediate,Medium,97
P0257,Easy Graphs Problem 257,This is a easy level problem related to graphs.,Basic,Easy,66
P0258,Medium Algorithm Problem 258,This is a medium level problem related to algorithm.,Intermediate,Medium,48
P0259,Hard Algorithm Problem 259,This is a hard level problem related to algorithm.,Advanced,Hard,71
P0260,Hard Algorithm Problem 260,This is a hard level problem related to algorithm.,Advanced,Hard,32
P0261,Easy Algorithm Problem 261,This is a easy level problem related to algorithm.,Basic,Easy,39
P0262,Hard Greedy Problem 262,This is a hard level problem related to greedy.,Advanced,Hard,82
P0263,Hard Greedy Problem 263,This is a hard level problem related to greedy.,Advanced,Hard,88
P0264,Easy Dynamic Programming Problem 264,This is a easy level problem related to dynamic programming.,Basic,Easy,13
P0265,Easy Graphs Problem 265,This is a easy level problem related to graphs.,Basic,Easy,88
P0266,Hard Algorithm Problem 266,This is a hard level problem related to algorithm.,Advanced,Hard,47
P0267,Hard Dynamic Programming Problem 267,This is a hard level problem related to dynamic programming.,Advanced,Hard,78
P0268,Medium Math Problem 268,This is a medium level problem related to math.,Intermediate,Medium,92
P0269,Medium Greedy Problem 269,This is a medium level problem related to greedy.,Intermediate,Medium,13
P0270,Easy Algorithm Problem 270,This is a easy level problem related to algorithm.,Basic,Easy,66
P0271,Easy Graphs Problem 271,This is a easy level problem related to graphs.,Basic,Easy,74
P0272,Easy Algorithm Problem 272,This is a easy level problem related to algorithm.,Basic,Easy,59
P0273,Easy Dynamic Programming Problem 273,This is a easy level problem related to dynamic programming.,Basic,Easy,45
P0274,Hard Graphs Problem 274,This is a hard level problem related to graphs.,Advanced,Hard,57
P0275,Easy Greedy Problem 275,This is a easy level problem related to greedy.,Basic,Easy,39
P0276,Easy Dynamic Programming Problem 276,This is a easy level problem related to dynamic programming.,Basic,Easy,99
P0277,Hard Algorithm Problem 277,This is a hard level problem related to algorithm.,Advanced,Hard,13
P0278,Hard Algorithm Problem 278,This is a hard level problem related to algorithm.,Advanced,Hard,19
P0279,Hard Data Structures Problem 279,This is a hard level problem related to data structures.,Advanced,Hard,21
P0280,Easy Data Structures Problem 280,This is a easy level problem related to data structures.,Basic,Easy,20
P0281,Easy Graphs Problem 281,This is a easy level problem related to graphs.,Basic,Easy,56
P0282,Hard Greedy Problem 282,This is a hard level problem related to greedy.,Advanced,Hard,94
P0283,Easy Graphs Problem 283,This is a easy level problem related to graphs.,Basic,Easy,52
P0284,Medium Data Structures Problem 284,This is a medium level problem related to data structures.,Intermediate,Medium,69
P0285,Hard Algorithm Problem 285,This is a hard level problem related to algorithm.,Advanced,Hard,54
P0286,Medium Dynamic Programming Problem 286,This is a medium level problem related to dynamic programming.,Intermediate,Medium,87
P0287,Hard Data Structures Problem 287,This is a hard level problem related to data structures.,Advanced,Hard,71
P0288,Easy Algorithm Problem 288,This is a easy level problem related to algorithm.,Basic,Easy,32
P0289,Medium Data Structures Problem 289,This is a medium level problem related to data structures.,Intermediate,Medium,52
P0290,Hard Graphs Problem 290,This is a hard level problem related to graphs.,Advanced,Hard,36
P0291,Hard Math Problem 291,This is a hard level problem related to math.,Advanced,Hard,60
P0292,Hard Algorithm Problem 292,This is a hard level problem related to algorithm.,Advanced,Hard,92
P0293,Hard Math Problem 293,This is a hard level problem related to math.,Advanced,Hard,20
P0294,Hard Greedy Problem 294,This is a hard level problem related to greedy.,Advanced,Hard,93
P0295,Easy Dynamic Programming Problem 295,This is a easy level problem related to dynamic programming.,Basic,Easy,39
P0296,Hard Dynamic Programming Problem 296,This is a hard level problem related to dynamic programming.,Advanced,Hard,13
P0297,Medium Greedy Problem 297,This is a medium level problem related to greedy.,Intermediate,Medium,65
P0298,Medium Greedy Problem 298,This is a medium level problem related to greedy.,Intermediate,Medium,90
P0299,Medium Graphs Problem 299,This is a medium level problem related to graphs.,Intermediate,Medium,34
P0300,Hard Greedy Problem 300,This is a hard level problem related to greedy.,Advanced,Hard,69
P0301,Easy Graphs Problem 301,This is a easy level problem related to graphs.,Basic,Easy,30
P0302,Hard Dynamic Programming Problem 302,This is a hard level problem related to dynamic programming.,Advanced,Hard,44
P0303,Hard Math Problem 303,This is a hard level problem related to math.,Advanced,Hard,66
P0304,Medium Data Structures Problem 304,This is a medium level problem related to data structures.,Intermediate,Medium,49
P0305,Easy Graphs Problem 305,This is a easy level problem related to graphs.,Basic,Easy,19
P0306,Hard Graphs Problem 306,This is a hard level problem related to graphs.,Advanced,Hard,46
P0307,Hard Greedy Problem 307,This is a hard level problem related to greedy.,Advanced,Hard,70
P0308,Easy Math Problem 308,This is a easy level problem related to math.,Basic,Easy,40
P0309,Easy Data Structures Problem 309,This is a easy level problem related to data structures.,Basic,Easy,86
P0310,Hard Data Structures Problem 310,This is a hard level problem related to data structures.,Advanced,Hard,23
P0311,Easy Data Structures Problem 311,This is a easy level problem related to data structures.,Basic,Easy,40
P0312,Easy Graphs Problem 312,This is a easy level problem related to graphs.,Basic,Easy,93
P0313,Easy Algorithm Problem 313,This is a easy level problem related to algorithm.,Basic,Easy,73
P0314,Easy Dynamic Programming Problem 314,This is a easy level problem related to dynamic programming.,Basic,Easy,95
P0315,Easy Math Problem 315,This is a easy level problem related to math.,Basic,Easy,81
P0316,Hard Data Structures Problem 316,This is a hard level problem related to data structures.,Advanced,Hard,48
P0317,Easy Graphs Problem 317,This is a easy level problem related to graphs.,Basic,Easy,15
P0318,Easy Data Structures Problem 318,This is a easy level problem related to data structures.,Basic,Easy,88
